ULN,FirstName,LastName,DOB,UKPRN,AcademicYear,CoreCode,SpecialismCode(s),Status,ProviderName,Tlevel
1534290489,Aadil,Wormald,02/06/2006,10006928,2021/22,60369115,,Active,Brentwood College,"Design, surveying and planning for construction"
1836312172,Tania,Carpenter,12/10/2004,10006928,2021/22,60369115,,Active,Brentwood College,"Design, surveying and planning for construction"
2289673583,Adil,Lucero,20/01/2004,10000202,2021/22,75936213,,Active,Fishingley Technical College,Education and childcare
3522041892,Huey,Bell,11/08/2005,10006928,2021/22,60369115,,Active,Brentwood College,"Design, surveying and planning for construction"
5013047225,Collette,Willis,09/06/2005,10006928,2021/22,60369115,,Active,Brentwood College,"Design, surveying and planning for construction"
5779406122,Fynn,Sheehan,24/03/2004,10006928,2021/22,60369115,,Active,Brentwood College,"Design, surveying and planning for construction"
5934782666,Beauden,Clarke,24/04/2005,10000202,2021/22,75936213,,Active,Fishingley Technical College,Education and childcare
6001239256,Gladys,Watts,31/12/2003,10006928,2021/22,60369115,,Active,Brentwood College,"Design, surveying and planning for construction"
6236696126,Ismael,Henderson,23/12/2003,10006928,2021/22,60369115,,Withdrawn,Brentwood College,"Design, surveying and planning for construction"
6837495745,Celeste,Churchill,12/09/2004,10006928,2021/22,60369115,,Active,Brentwood College,"Design, surveying and planning for construction"
7954344694,Milly,Potts,06/02/2006,10006928,2021/22,60369115,,Active,Brentwood College,"Design, surveying and planning for construction"
8128015203,Sarah,McKee,08/12/2003,10006928,2021/22,60369115,,Active,Brentwood College,"Design, surveying and planning for construction"
8199073929,Cordelia,Butt,14/10/2004,10006928,2021/22,60369115,,Active,Brentwood College,"Design, surveying and planning for construction"
8275435466,Santino,Cortex,06/11/2003,10000202,2021/22,75936213,,Active,Fishingley Technical College,Education and childcare
