ULN,CoreCode,CoreAssessmentEntry,SpecialismCode,SpecialismAssessmentEntry,ProviderName,FirstName,LastName,DOB,UKPRN,AcademicYear,Status,Tlevel
1534290489,60369115,Summer 2022,,,Brentwood College,Aadil,Wormald,02/06/2006,10006928,2021/22,Active,"Design, surveying and planning for construction"
1836312172,60369115,Summer 2023,,,Brentwood College,Tania,Carpenter,12/10/2004,10006928,2021/22,Active,"Design, surveying and planning for construction"
2289673583,75936213,Summer 2024,,,Fishingley Technical College,Adil,Lucero,20/01/2004,10000202,2021/22,Active,Education and childcare
3522041892,60369115,Summer 2025,,,Brentwood College,Huey,Bell,11/08/2005,10006928,2021/22,Active,"Design, surveying and planning for construction"
5013047225,60369115,Summer 2026,,,Brentwood College,Collette,Willis,09/06/2005,10006928,2021/22,Active,"Design, surveying and planning for construction"
5779406122,60369115,Summer 2027,,,Brentwood College,Fynn,Sheehan,24/03/2004,10006928,2021/22,Active,"Design, surveying and planning for construction"
5934782666,75936213,Summer 2028,,,Fishingley Technical College,Beauden,Clarke,24/04/2005,10000202,2021/22,Active,Education and childcare
6001239256,60369115,Summer 2029,,,Brentwood College,Gladys,Watts,31/12/2003,10006928,2021/22,Active,"Design, surveying and planning for construction"
6236696126,60369115,Summer 2030,,,Brentwood College,Ismael,Henderson,23/12/2003,10006928,2021/22,Withdrawn,"Design, surveying and planning for construction"
6837495745,60369115,Summer 2031,,,Brentwood College,Celeste,Churchill,12/09/2004,10006928,2021/22,Active,"Design, surveying and planning for construction"
7954344694,60369115,Summer 2032,,,Brentwood College,Milly,Potts,06/02/2006,10006928,2021/22,Active,"Design, surveying and planning for construction"
8128015203,60369115,Summer 2033,,,Brentwood College,Sarah,McKee,08/12/2003,10006928,2021/22,Active,"Design, surveying and planning for construction"
8199073929,60369115,Summer 2034,,,Brentwood College,Cordelia,Butt,14/10/2004,10006928,2021/22,Active,"Design, surveying and planning for construction"
8275435466,75936213,Summer 2035,,,Fishingley Technical College,Santino,Cortex,06/11/2003,10000202,2021/22,Active,Education and childcare
